No,Architecture,Keywords,Description,When To Use,When Not To Use,Structure,Example Packages,Key Principles
1,Clean Architecture + MVVM,"clean,mvvm,layer,domain,data,presentation,use case",Three-layer architecture with MVVM presentation. Domain layer has no framework dependencies,"Large production apps; teams > 3 developers; apps needing high testability; long-lived projects","Prototypes; solo projects; hackathons; apps with < 5 screens","lib/ core/ constants/ theme/ utils/ errors/ features/ auth/ data/ datasources/ models/ repositories/ domain/ entities/ repositories/ usecases/ presentation/ bloc/ pages/ widgets/ home/ data/ domain/ presentation/ shared/ widgets/ services/","flutter_bloc,get_it,injectable,dartz,freezed","Dependency inversion; domain has no framework deps; use cases encapsulate business rules; repository abstracts data source"
2,Feature-First Modular,"feature,module,modular,scalable,team,independent",Organize code by feature/module with each feature self-contained,"Medium to large apps; multiple teams working in parallel; when features can be developed independently","Small apps where layered is simpler; apps with heavily shared logic between features","lib/ features/ auth/ data/ domain/ presentation/ products/ data/ domain/ presentation/ cart/ data/ domain/ presentation/ checkout/ core/ di/ network/ storage/ shared/ widgets/ l10n/ theme/","flutter_modular,auto_route,injectable","Each feature is self-contained; shared code in core/shared; features communicate via interfaces; easy to add/remove features"
3,MVC (Model-View-Controller),"mvc,model,view,controller,simple,traditional",Traditional MVC pattern adapted for mobile. Controller manages state and business logic,"Simple apps; learning projects; apps with straightforward CRUD operations","Complex apps with rich business logic; apps needing extensive testing; large teams","lib/ models/ user.dart product.dart views/ home_view.dart profile_view.dart controllers/ home_controller.dart profile_controller.dart services/ api_service.dart widgets/ common/","provider,get","Simple structure; fast to develop; controller handles both business logic and state; suitable for small-medium apps"
4,BLoC Architecture,"bloc,event,state,stream,reactive,flutter",Event-driven architecture using BLoC pattern for state management across the app,"Flutter apps with complex state management; when clear separation of UI and logic is needed","Simple apps; when BLoC verbosity is not justified","lib/ blocs/ auth/ auth_bloc.dart auth_event.dart auth_state.dart products/ cart/ data/ repositories/ models/ screens/ home/ widgets/ services/","flutter_bloc,bloc,equatable,freezed","Events in, states out; BLoC is testable without Flutter; one BLoC per feature/screen; use Cubit for simpler cases"
5,Riverpod Architecture,"riverpod,provider,reactive,auto dispose,code gen",Provider-based architecture with compile-time safety and auto-disposal,"Flutter apps wanting minimal boilerplate; when dependency injection integrated with state management is needed","Legacy apps already using another state management; strongly typed event-driven requirements","lib/ providers/ auth_provider.dart products_provider.dart cart_provider.dart models/ repositories/ screens/ home/ product_detail/ cart/ widgets/ services/","flutter_riverpod,riverpod_annotation,freezed","Providers are global but auto-disposed; ProviderScope for DI; ref.watch for reactive; ref.read for one-shot"
6,Domain-Driven Design (DDD),"ddd,domain,aggregate,entity,value object,bounded context",Rich domain model with aggregates entities and value objects driving the architecture,"Complex business domains (fintech healthcare e-commerce); apps with complex validation rules","Simple CRUD apps; apps with thin business logic; prototypes","lib/ domain/ entities/ value_objects/ repositories/ failures/ events/ application/ bloc/ usecases/ infrastructure/ datasources/ dtos/ repositories/ presentation/ pages/ widgets/ core/ injection.dart","dartz,fpdart,freezed,injectable","Ubiquitous language; aggregates enforce invariants; value objects are immutable; domain events for side effects"
7,Micro-Frontend / Super App,"micro,super app,mini program,plugin,dynamic",App shell with dynamically loadable feature modules or mini-apps,"Super apps (WeChat-like); apps with pluggable features; large orgs with separate teams per feature","Simple single-purpose apps; apps with few features","app_shell/ core/ navigation/ auth/ features/ (separate packages) feature_payments/ lib/ test/ pubspec.yaml feature_social/ lib/ test/ pubspec.yaml feature_marketplace/ lib/ test/ pubspec.yaml","flutter_modular,package:flutter_dynamic_module","Feature isolation via packages; shared contracts in core; lazy loading of features; independent deployment possible"
8,Offline-First Architecture,"offline,local first,sync,conflict,cache,queue",Local database as primary data store with background sync to server,"Apps used in areas with poor connectivity; field service apps; note-taking apps","Apps requiring real-time data; apps where offline makes no sense (live streaming)","lib/ data/ local/ database/ dao/ remote/ api/ sync/ sync_service.dart conflict_resolver.dart domain/ models/ repositories/ presentation/ services/ connectivity_service.dart","drift,hive,workmanager,connectivity_plus","Local DB is source of truth; sync queue for pending changes; conflict resolution strategy; connectivity monitoring"
9,Monorepo with Melos,"monorepo,melos,workspace,packages,shared,reuse",Multiple packages in one repository managed by Melos for code sharing,"Multiple apps sharing code (customer + driver app); shared design system across apps","Single app with no shared code; small team with one product","packages/ shared_ui/ lib/ widgets/ themes/ pubspec.yaml core/ lib/ models/ services/ pubspec.yaml app_customer/ lib/ pubspec.yaml app_driver/ lib/ pubspec.yaml melos.yaml","melos,very_good_cli","Shared packages for common code; independent versioning; parallel development; unified CI/CD"
10,Server-Driven UI,"sdui,backend driven,dynamic,json schema,remote config",UI structure and content defined by server responses enabling updates without app releases,"Content-heavy apps; apps needing frequent UI changes without releases; A/B testing","Apps with static UI; performance-critical rendering; complex animations","lib/ sdui/ widgets/ widget_factory.dart renderers/ parsers/ json_parser.dart screens/ dynamic_screen.dart data/ sdui_repository.dart","server_driven_ui,json_dynamic_widget","Server sends UI schema as JSON; client renders dynamically; fallback for unknown components; cache schemas for offline"
