No,Use Case,Keywords,Primary Package,Secondary Packages,Platform,Architecture Pattern,Key Considerations
1,HTTP Client,"http,api,rest,network,request,dio,retrofit",dio,"http,chopper,retrofit",Cross-platform,Repository + DataSource,"Supports interceptors for auth/retry; use with retrofit for type-safe APIs; cancel tokens for lifecycle"
2,State Management (Flutter),"state,bloc,provider,riverpod,cubit,reactive",flutter_riverpod,"flutter_bloc,provider,mobx",Flutter,MVVM/BLoC,"Riverpod for compile-safe DI + state; BLoC for event-driven; Provider for simpler apps"
3,Local Database,"database,sqlite,nosql,local storage,offline,persistence",drift,"sqflite,hive,isar,objectbox",Cross-platform,"Repository Pattern","drift (formerly moor) for type-safe SQL; Hive for key-value NoSQL; Isar for high-performance"
4,Navigation/Routing,"navigation,route,deeplink,router,tab,stack",go_router,"auto_route,beamer,flutter_navigation",Flutter,Coordinator/Router,"Declarative routing with type-safe parameters; deep linking support; nested navigation"
5,Image Loading & Caching,"image,cache,thumbnail,placeholder,network image",cached_network_image,"flutter_cache_manager,fast_image,extended_image",Cross-platform,"Cache + Repository","Automatic memory/disk caching; placeholder & error widgets; supports SVG and WebP"
6,Secure Storage,"keychain,keystore,secure,credentials,token,biometric",flutter_secure_storage,"shared_preferences,hive_flutter",Cross-platform,Repository,"Uses iOS Keychain and Android Keystore; for tokens/secrets only not bulk data"
7,Serialization/JSON,"json,serialization,model,parse,codegen,freezed",freezed,"json_serializable,built_value,json_annotation",Cross-platform,Adapter/Mapper,"Code generation for immutable models; union types; copyWith; toJson/fromJson"
8,Dependency Injection,"di,injection,service locator,container,get_it",get_it,"injectable,riverpod,koin",Cross-platform,DI/Service Locator,"get_it + injectable for auto-registration; Riverpod doubles as DI; Koin for Kotlin"
9,Push Notifications,"push,notification,fcm,firebase,messaging,apns",firebase_messaging,"flutter_local_notifications,onesignal,awesome_notifications",Cross-platform,Observer,"Firebase Cloud Messaging for cross-platform; local notifications for scheduled; handle background messages"
10,Analytics & Crash Reporting,"analytics,crash,firebase,sentry,tracking,monitoring",firebase_crashlytics,"sentry_flutter,firebase_analytics,amplitude_flutter",Cross-platform,Observer/Interceptor,"Automatic crash reporting; custom event tracking; breadcrumbs for debugging context"
11,Authentication,"auth,login,social,oauth,biometric,firebase auth",firebase_auth,"google_sign_in,sign_in_with_apple,flutter_appauth",Cross-platform,Strategy,"Firebase Auth for managed auth; AppAuth for custom OAuth; biometric with local_auth"
12,Forms & Validation,"form,validation,input,reactive,field",reactive_forms,"flutter_form_builder,formz",Flutter,Strategy/Observer,"Reactive form validation; custom validators; form groups; async validation support"
13,Internationalization,"i18n,l10n,localization,translation,locale,intl",flutter_localizations,"intl,easy_localization,slang",Flutter,Strategy,"Built-in Flutter l10n with ARB files; easy_localization for simpler setup; plurals and gender support"
14,WebSocket/Real-time,"websocket,socket,real-time,chat,live,stream",web_socket_channel,"socket_io_client,supabase_flutter,firebase_database",Cross-platform,Observer/Stream,"web_socket_channel for raw WS; socket.io for event-based; Supabase Realtime for Postgres changes"
15,Camera & Media,"camera,photo,video,gallery,picker,media",image_picker,"camera,photo_manager,video_player",Cross-platform,Strategy,"image_picker for simple pick; camera package for custom viewfinder; handle permissions"
16,Maps & Location,"map,location,gps,geofence,geocoding,places",google_maps_flutter,"geolocator,geocoding,flutter_map",Cross-platform,Adapter,"Google Maps for full-featured; flutter_map for OpenStreetMap; geolocator for GPS coordinates"
17,Payment Integration,"payment,stripe,in-app purchase,billing,checkout",flutter_stripe,"in_app_purchase,pay,razorpay_flutter",Cross-platform,Strategy,"Stripe for card payments; in_app_purchase for App/Play Store; handle PCI compliance"
18,PDF Generation,"pdf,document,report,invoice,export",pdf,"printing,syncfusion_flutter_pdf,open_file",Cross-platform,Builder,"pdf package for generation; printing for preview/print; handle large documents with pagination"
19,Charts & Graphs,"chart,graph,visualization,plot,dashboard",fl_chart,"syncfusion_flutter_charts,graphic,charts_flutter",Flutter,Composite,"fl_chart for animated charts; supports line/bar/pie/radar; custom tooltips and interactions"
20,Animation,"animation,motion,transition,hero,lottie,rive",lottie,"rive,flutter_animate,animations",Cross-platform,Composite,"Lottie for After Effects animations; Rive for interactive; flutter_animate for code-based"
21,Background Tasks,"background,workmanager,isolate,foreground service",workmanager,"flutter_background_service,flutter_isolate",Cross-platform,Command,"WorkManager wraps Android WorkManager + iOS BGTask; use isolates for CPU-intensive work"
22,Deep Linking,"deeplink,universal link,app link,dynamic link",app_links,"uni_links,firebase_dynamic_links,go_router",Cross-platform,Router,"app_links for universal/app links; integrate with go_router for route handling"
23,Bluetooth & IoT,"bluetooth,ble,iot,device,peripheral,scan",flutter_blue_plus,"flutter_reactive_ble,nearby_connections",Cross-platform,Observer/Adapter,"flutter_blue_plus for BLE; handle permissions and lifecycle; stream-based data reading"
24,GraphQL Client,"graphql,query,mutation,subscription,apollo",graphql_flutter,"ferry,artemis",Cross-platform,Repository,"graphql_flutter wraps graphql with widgets; ferry for code-gen; supports subscriptions"
25,Testing Utilities,"test,mock,fake,fixture,golden,screenshot",mockito,"mocktail,bloc_test,golden_toolkit",Cross-platform,Strategy,"mocktail for null-safe mocking without codegen; bloc_test for BLoC testing; golden for screenshot tests"
